Authors,DOI,DataSourceType,FeatureName,UniqueID,Latitude,Longitude,FeatureType,FeatureCategory,ThawType,Imagery,ImageryDates,ImageryResolutionMeters,Aspect,Elevation,MeanElevation,RelativeElevation,Slope,SolarRadiationIndex
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19442,69.78277214,-152.6494993,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,16,91.22656,91.40177444,-0.175211944,0,0.690342513
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19443,69.78116968,-152.6509061,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,330,91.4375,91.85369232,-0.416192316,1,0.677979259
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19444,69.78075992,-152.6469418,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,72,91.171875,91.52393679,-0.352061793,1,0.695694469
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19445,69.7805402,-152.6567952,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,72,92.24219,92.32245492,-0.08026742,0,0.690370696
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19446,69.77775072,-152.6648809,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,329,94.55469,94.90975832,-0.355070819,2,0.66533482
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19447,69.77570137,-152.681255,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,96,94.5,94.46012656,0.039873439,1,0.699923919
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19448,69.77596536,-152.6623136,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,226,94.52344,94.67255225,-0.149114753,1,0.690437883
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19449,69.77144611,-152.6603285,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,328,98.0625,98.20229153,-0.139791532,0,0.690485515
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19450,69.77007821,-152.6573859,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,117,98.171875,98.57422227,-0.402347274,0,0.690502784
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19451,69.76735845,-152.6441841,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,15,103.203125,100.4441101,2.759014945,5,0.654952617
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19452,69.76575532,-152.6549856,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,136,98.69531,98.77181312,-0.076500617,0,0.690557357
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19453,69.76484525,-152.6773956,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,297,95.61719,95.83647647,-0.219288972,0,0.690568845
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19454,69.75244767,-152.8174425,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,275,95.015625,95.12895935,-0.113334354,1,0.681171124
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19455,69.75170104,-152.7998011,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,181,96.96094,97.15715029,-0.196212795,0,0.690734751
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19456,69.7410903,-152.7852481,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,207,98.421875,98.79247034,-0.370595336,0,0.690868653
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19457,69.76134308,-152.7165913,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,252,100.421875,100.6027885,-0.180913512,0,0.690613053
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19458,69.75762953,-152.7120791,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,232,99.671875,99.81329334,-0.141418335,1,0.68934943
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19459,69.74988663,-152.7047234,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,331,94.71094,94.77189721,-0.060959713,1,0.678433709
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19460,69.74769224,-152.7344032,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,279,87.25781,88.08414431,-0.826331805,1,0.680671382
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19461,69.74698381,-152.7093762,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,72,94.85156,95.03270916,-0.181146664,0,0.690794283
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19463,69.75890359,-152.6473846,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,72,101.25,101.2657992,-0.015799242,0,0.690643845
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19464,69.75835014,-152.6682682,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,130,97.82031,98.01321897,-0.192906471,1,0.703085387
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19465,69.75445758,-152.6767943,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,88,98.3125,98.452233,-0.139733003,1,0.698954099
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19466,69.76180111,-152.6278933,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,266,102.78125,102.7393883,0.041861725,0,0.690607271
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19467,69.73817003,-152.8401972,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,40,98.09375,98.32699636,-0.233246364,1,0.689367598
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19468,69.73144086,-152.8419836,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,246,98.53125,98.6226365,-0.091386496,1,0.686678102
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19469,69.73342414,-152.8484935,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,154,98.40625,98.88069509,-0.474445091,1,0.702893687
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19470,69.74079504,-152.8100564,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,176,98.671875,99.26242237,-0.590547372,0,0.690872379
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19471,69.73962748,-152.8024594,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,50,99.46094,99.59740917,-0.136471673,1,0.691547766
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19472,69.73816991,-152.8094688,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,129,98.96875,99.47379466,-0.505044655,1,0.703308889
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19473,69.73597275,-152.7948946,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,189,99.84375,99.80138438,0.042365621,0,0.690933226
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19474,69.73490322,-152.8055188,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,148,97.890625,97.93198861,-0.041363614,0,0.69094672
