Authors,DOI,DataSourceType,FeatureName,FeatureType,FeatureCategory,Imagery,ImageryDate,ImageryResolutionMeters,Latitude,Longitude,ThawType,Aspect,Elevation,MeanElevation,RelativeElevation,Slope,SolarRadiation,Geo
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,Stinking Hills Feature,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.57055556,-150.8933333,Abrupt,36,76.59375,79.95885708,-3.365107079,15,0.635336375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.89335317216148,69.57056214802182]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,VTK IMPACTED,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.13277778,-150.7108333,Abrupt,344,238.42969,238.3029025,0.126784994,1,0.687319104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.71085043950592,69.13278510736711]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,VTK IMP-Upper,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.13944444,-150.6838889,Abrupt,335,232.98438,233.2322986,-0.247923606,1,0.686469528,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.68389726212268,69.13944126962033]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,VTK REFERENCE,Fire-driven thermokarst,Wildfire-induced thaw,,,,68.96083333,-150.7197222,Abrupt,306,308.39062,307.3265933,1.064031693,2,0.675740664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.7196952812489,68.96083112829766]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,VTK REF-Upper,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.05527778,-150.8097222,Abrupt,29,224.5,224.3743275,0.125672474,0,0.699472806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.8097017495405,69.05527756017064]}"
Jorgenson (2013),https://doi.org/10.18739/A2CP5C,Field - published,BurnedBluff,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.1403,-150.62946,Abrupt,133,231.42188,230.9171078,0.504767164,11,0.821883316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.62945480866736,69.14031120881282]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,Severe burn flux Tower,Fire-driven thermokarst - high severity,Wildfire-induced thaw,,,,68.99666667,-150.281,Abrupt,335,350.17188,349.4944994,0.677375627,1,0.688279356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.28101328577765,68.99666531714507]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,Moderate burn flux tower,Fire-driven thermokarst - moderate severity,Wildfire-induced thaw,,,,68.95222222,-150.2125,Abrupt,338,404.73438,404.1258691,0.608505919,1,0.689064516,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.21251490799034,68.95222666159516]}"
Liljedahl et al. (2007),https://doi.org/10.1029/2006JF000554,Field - published,K2,Fire-induced thermokarst,Wildfire-induced thaw,,,,65.428333,-164.6435,Abrupt,212,92.3125,93.01658104,-0.704081042,2,0.748681868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-164.64348540203966,65.428326933574]}"
Myers-Smith et al. (2008),https://doi.org/10.1594/PANGAEA.817460,Field - published,,Permafrost collapse feature,Thermokarst,,,,64.640745,-148.3335,Abrupt,212,130.79688,131.2509266,-0.454051622,2,0.757711484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-148.33348836183083,64.64075257927217]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Old leather,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.04614,-158.86201,Abrupt,199,250.41406,251.7410396,-1.326977076,11,0.760782233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.86199704129305,68.04613793943909]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Angry,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.555298,-149.574893,Abrupt,137,810.7656,812.7841757,-2.018550742,4,0.753386119,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.57488319413062,68.55529738606563]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Boot,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.03301,-157.73651,Abrupt,64,408.97656,411.0362247,-2.059662151,8,0.734530446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.73651420988645,68.03301736854013]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Duck lake 1,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.683761,-149.626836,Abrupt,248,710.2969,711.7262791,-1.429404126,11,0.641540695,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.62686227832913,68.68376725711671]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Duck lake 2,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.683118,-149.625378,Abrupt,285,715.0703,713.625858,1.444454512,10,0.588288598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.6253797748935,68.683114539182]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Dimple TK,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.9514,-150.1943,Abrupt,348,403.35156,402.529589,0.821973478,2,0.679107858,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.1943177678678,68.95139321420952]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GTH 88 1,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.507251,-149.596189,Abrupt,71,922.3906,923.3404938,-0.949868758,3,0.720661156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.59618334117226,68.50725723568537]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GTH 88 2,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.508107,-149.575256,Abrupt,237,923.6953,923.8629069,-0.167594408,1,0.703910799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.57526695986851,68.50810988871999]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GT1WT,Retrogressive thaw slump,Retrogressive thaw slump,,,,67.928,-161.96455,Abrupt,290,150.22656,154.2503513,-4.02378882,7,0.631664568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.96454522965465,67.92799972180997]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GT1R,Retrogressive thaw slump,Retrogressive thaw slump,,,,67.9284,-161.9616,Abrupt,346,154.26562,157.0583296,-2.792704605,9,0.609178704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.961587711977,67.9284057419337]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GT2,Retrogressive thaw slump,Retrogressive thaw slump,,,,67.94373,-162.35535,Abrupt,38,89.16406,91.55619878,-2.392136277,6,0.698442654,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-162.35534781930744,67.94372108865274]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GT2R,Retrogressive thaw slump,Retrogressive thaw slump,,,,67.94316,-162.35416,Abrupt,354,93.05469,92.72337943,0.331308071,3,0.683122423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-162.35416185912618,67.94316955625132]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Horn WT,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.9614,-150.3154,Abrupt,199,395.8828,395.3217154,0.561097123,3,0.716936935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.31540392350024,68.96140089004196]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Horn 2,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.06579,-158.91894,Abrupt,131,260.07812,260.9990195,-0.920894469,4,0.758750944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.91893905319668,68.06580068228338]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1TS,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.5554,-149.5747,Abrupt,192,812.2031,812.3975353,-0.194410329,11,0.769329243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.57470854095078,68.55540621020562]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1WT,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.5537,-149.5588,Abrupt,328,833.8125,832.9782548,0.834245238,4,0.655548888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.55877828350543,68.55369398886447]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1 revegetated lobe WT,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.554682,-149.575954,Abrupt,78,815.25,815.9791221,-0.729122067,9,0.754881065,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.57595562344994,68.5546789847201]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Maren wt,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.08454,-158.02721,Abrupt,36,360.35156,363.1853779,-2.833815426,11,0.673927513,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.02720690865124,68.08453562550145]}"
